Re,St,Cd
410.38,0.18,1.04
161.67,0.16,1.11
2539.76,0.24,0.75
1396.36,0.22,0.74
838.98,0.23,0.9
770.26,0.21,0.9
371.28,0.15,1.18
789.19,0.23,0.92
394.1,0.17,1.1
2422.13,0.25,0.78
109.4,0.15,1.11
1993.05,0.22,0.81
2291.24,0.22,0.74
278.03,0.19,1.05
1090.26,0.24,0.79
192.88,0.18,1.25
247.03,0.17,1.06
93.58,0.16,1.22
382.65,0.19,0.93
211.6,0.17,1.07
1266.91,0.17,0.94
1461.04,0.24,0.83
2248.79,0.22,0.75
434.91,0.15,1.16
98.31,0.15,1.18
2936.89,0.21,0.71
574.36,0.18,0.95
1131.29,0.18,0.95
620.1,0.18,0.88
3289.4,0.24,0.65
206.2,0.17,1.11
1264.9,0.19,1.02
4665.3,0.26,0.63
4107.77,0.26,0.64
4111.45,0.21,0.77
195.37,0.19,1.12
646.92,0.19,0.93
302.57,0.15,1.15
316.55,0.18,1.07
64.57,0.16,1.24
1476.62,0.23,0.84
153.11,0.19,1.09
4753.28,0.24,0.64
299.74,0.19,1.01
1872.38,0.22,0.78
3132.26,0.24,0.71
905.55,0.26,0.69
1639.47,0.2,0.81
2832.8,0.25,0.77
357.4,0.15,1.2
290.25,0.13,1.15
2223.6,0.24,0.72
132.4,0.16,1.2
4418.69,0.27,0.64
347.92,0.23,0.83
99.69,0.19,1.11
287.74,0.17,0.84
3540.65,0.24,0.84
32.45,0.15,1.31
382.28,0.17,1.06
2766.07,0.22,0.84
152.29,0.2,1.02
2991.61,0.28,0.66
72.02,0.15,1.28
554.58,0.17,1.04
2623.88,0.21,0.75
1897.94,0.24,0.85
2600.92,0.23,0.76
583.1,0.23,0.98
923.65,0.17,0.98
2884.84,0.23,0.72
1309.41,0.24,0.75
74.53,0.13,1.29
2760.16,0.21,0.73
2976.82,0.22,0.69
1269.91,0.22,0.94
737.19,0.19,0.92
364.93,0.23,0.86
4971.03,0.22,0.74
1338.31,0.19,0.96
971.05,0.19,0.97
144.32,0.15,1.27
4459.36,0.23,0.77
3179.43,0.19,0.9
4187.8,0.26,0.71
4073.79,0.23,0.54
361.13,0.19,1.08
150.81,0.19,1.12
450.01,0.19,1
1289.88,0.18,1.01
4827.32,0.23,0.74
337.53,0.2,1.13
1325.86,0.2,0.92
736.98,0.24,0.86
3176.77,0.24,0.78
1152.21,0.26,0.74
358.42,0.24,0.99
142.53,0.18,1.11
1647.51,0.23,0.81
239.58,0.16,1.12
853.75,0.21,0.88
911.97,0.19,0.98
4775.3,0.24,0.7
1072.72,0.24,0.8
3550.49,0.24,0.64
1051.13,0.16,1.04
1163.48,0.18,0.97
162.87,0.14,1.19
1447.19,0.22,0.87
3629.7,0.24,0.57
1653.51,0.21,0.84
2259.03,0.24,0.74
3026.45,0.25,0.66
1389.17,0.19,0.95
69.35,0.17,1.29
2455.68,0.24,0.57
1242.47,0.19,0.93
371.43,0.14,1.2
2997.29,0.24,0.78
2450.41,0.22,0.83
220.11,0.2,1.07
298.87,0.19,1.19
4770.08,0.26,0.67
2228.2,0.26,0.73
808,0.24,0.82
54.21,0.13,1.23
2328.21,0.21,0.8
659.37,0.15,1.12
3997.53,0.24,0.68
2559.58,0.28,0.61
832.87,0.17,0.95
4433.2,0.27,0.62
673.31,0.22,0.85
1445.18,0.23,0.89
362.84,0.19,0.9
560.12,0.19,0.99
167.18,0.2,1.04
3927.73,0.22,0.71
1059.66,0.18,0.94
250.18,0.18,0.94
1265.35,0.24,0.87
1280.6,0.23,0.87
1468.93,0.19,0.95
108.75,0.15,1.17
2048.52,0.25,0.71
158.33,0.19,1.08
2293.83,0.27,0.8
4724.33,0.22,0.71
2538.96,0.24,0.75
119.88,0.17,1.11
1297.07,0.2,0.96
21.06,0.15,1.29
321.29,0.15,1.13
1122.71,0.19,0.93
130.86,0.12,1.28
4305.2,0.28,0.67
2392.07,0.22,0.74
1524.22,0.24,0.87
1106.23,0.17,0.94
622.41,0.23,0.94
3365.08,0.25,0.69
368.47,0.17,1.02
4045.19,0.22,0.71
889.29,0.22,0.89
307.22,0.23,0.93
159.13,0.19,1.02
1189.37,0.25,0.8
1965.3,0.25,0.8
4614.51,0.2,0.73
291.32,0.18,1.11
1027.8,0.2,0.88
62.32,0.17,1.26
95.43,0.17,1.12
3079.28,0.29,0.66
3259.71,0.28,0.61
46.76,0.17,1.21
1489.37,0.26,0.75
1284.82,0.23,0.9
782.8,0.23,0.88
97.03,0.12,1.27
153.91,0.16,1.19
210.09,0.22,1.02
329.53,0.19,1.04
1145.48,0.16,1
54.59,0.15,1.28
341.91,0.18,1.07
4020.46,0.21,0.78
2170.36,0.23,0.67
92.71,0.16,1.19
2738.77,0.22,0.8
780.56,0.24,0.96
24.89,0.14,1.32
2106.05,0.25,0.8
314.17,0.19,1.01
926.82,0.23,0.89
232.24,0.18,1.11
4880.83,0.23,0.56
1055.27,0.17,1.14
4320.07,0.26,0.66
557.03,0.2,0.95
119.31,0.16,1.16
1055.63,0.16,1.03
396.29,0.16,1.15
2994.03,0.24,0.78
145.41,0.15,1.15
1008.64,0.18,0.97
918.89,0.16,0.96
1008,0.19,0.92
364.38,0.15,1.15
22.57,0.15,1.3
1435.03,0.19,0.96
3453.8,0.19,0.77
3763.43,0.26,0.65
915.48,0.21,0.74
1205.99,0.22,0.9
378.33,0.15,1.12
141.74,0.17,1.22
2389.32,0.25,0.69
2553.06,0.23,0.77
1098.73,0.25,0.79
2743.6,0.22,0.71
510.66,0.2,0.95
818.09,0.23,0.88
740.05,0.23,0.85
2379.14,0.27,0.58
2287.94,0.2,0.8
1106.39,0.19,0.97
83.57,0.16,1.15
87,0.14,1.27
964.96,0.23,0.89
1416.66,0.2,0.89
2037.3,0.26,0.68
1020.38,0.16,1.02
58.06,0.18,1.22
634.58,0.19,0.96
708.22,0.19,1.09
2244.42,0.26,0.75
2086.69,0.26,0.67
97.98,0.15,1.23
3180.9,0.27,0.64
388.59,0.2,0.87
1398.18,0.18,0.97
854.81,0.17,1.07
3699.84,0.25,0.72
114.89,0.17,1.18
101.74,0.18,1.2
404.94,0.19,1.06
51.1,0.15,1.32
110.86,0.14,1.25
1170.61,0.17,1.12
928.74,0.19,0.78
71.25,0.13,1.3
2052.64,0.19,0.83
1434.94,0.23,0.89
1282.12,0.24,0.85
132.19,0.15,1.27
488.63,0.17,1.14
92.23,0.12,1.29
342.07,0.14,1.19
205.2,0.17,1.02
990.49,0.22,0.91
807.68,0.18,0.93
2060.72,0.21,0.96
132.66,0.13,1.25
3410.98,0.28,0.78
105.76,0.16,1.15
85.54,0.18,1.14
4685.61,0.22,0.67
1576.35,0.24,0.81
2300.45,0.21,0.8
260.07,0.2,0.94
1343.47,0.16,0.99
106.25,0.13,1.33
140.8,0.17,1.12
139.72,0.2,1.04
1467.28,0.21,0.82
1362.11,0.22,0.82
1808.45,0.2,0.86
1220.29,0.18,0.93
1081.39,0.21,0.9
3468.9,0.18,0.85
4244.31,0.24,0.69
2484.96,0.25,0.67
147.08,0.19,1.07
3468.29,0.21,0.74
300.74,0.15,1.04
592.8,0.18,1.04
388.1,0.16,1.11
633.13,0.2,0.91
1497.53,0.2,0.94
1379.2,0.24,0.8
1350.52,0.22,1.11
356.33,0.18,1.06
263.57,0.16,1.08
159.53,0.19,0.95
4548.86,0.27,0.64
2747.83,0.25,0.73
553.31,0.18,1.01
826.11,0.19,0.91
1291.77,0.16,1.04
2429.42,0.24,0.76
2434.09,0.2,0.9
387.83,0.24,0.84
381.78,0.18,0.79
1347.06,0.22,0.77
2740.32,0.28,0.69
477.5,0.2,0.95
494.24,0.21,0.92
3777.08,0.22,0.79
3049.49,0.26,0.75
302.85,0.15,1.26
306.66,0.19,1.05
24.23,0.17,1.26
3559.53,0.21,0.8
508.6,0.19,1.09
310.27,0.23,0.86
3840.84,0.22,0.73
3773.76,0.23,0.74
1567.03,0.25,0.78
1040.12,0.18,1.02
1424.12,0.18,0.97
1959.02,0.23,0.84
359.22,0.19,0.93
436.05,0.17,1.06
2556.23,0.28,0.68
139.39,0.14,1.26
1592.26,0.25,0.83
2284.71,0.27,0.58
335.59,0.17,1
2956.98,0.22,0.88
1305.87,0.19,0.92
150.58,0.18,1.14
147.63,0.14,1.3
1315.49,0.18,0.96
117.91,0.17,1.14
94.47,0.13,1.28
2701.84,0.25,0.73
233.89,0.19,1.02
2009.18,0.22,0.77
297.19,0.18,1.09
2217.63,0.23,0.74
275.07,0.15,1.1
119.14,0.18,1.12
670.1,0.2,0.97
233.15,0.2,0.93
999.91,0.2,0.85
2604.25,0.23,0.69
2307.52,0.24,0.7
1476.26,0.19,0.95
258.49,0.18,1.12
3174.5,0.24,0.74
111.5,0.14,1.24
374.33,0.16,1.16
309.58,0.18,1.23
2558.16,0.28,0.64
734.4,0.2,0.96
807.39,0.2,0.89
3729.69,0.21,0.75
256.87,0.2,0.99
913.59,0.2,0.98
114.51,0.19,1.05
936.41,0.25,0.86
3258.26,0.24,0.54
1233.49,0.23,0.88
2955.69,0.25,0.58
66.76,0.16,1.27
2494.84,0.21,0.84
2555.81,0.22,0.8
1130.75,0.18,0.92
1741.46,0.19,0.84
30.15,0.15,1.29
822.45,0.21,0.9
2792.96,0.27,0.55
3553.99,0.26,0.65
251.5,0.19,1.04
1279.23,0.22,0.83
63.16,0.12,1.32
2398.8,0.29,0.65
3439.99,0.26,0.68
85.53,0.15,1.24
1212.13,0.21,0.66
3591.11,0.28,0.62
2006.99,0.21,0.75
525.38,0.18,0.9
314.74,0.24,0.82
890.64,0.18,0.87
4973.96,0.27,0.63
2516.3,0.22,0.75
800.39,0.23,0.88
144.41,0.15,1.19
1025.18,0.24,0.89
240.3,0.15,1.1
779.28,0.2,0.97
4197.64,0.29,0.62
323.02,0.2,0.96
2624.61,0.22,0.66
201.78,0.15,1.24
983.6,0.24,1.04
924.96,0.2,1.02
932.65,0.19,0.88
2987.05,0.19,0.99
2196.83,0.26,0.68
821.55,0.17,1.03
2038.59,0.28,0.61
195.52,0.19,1.06
148.3,0.18,1.12
1342.94,0.19,0.93
989.96,0.21,0.85
2370.63,0.29,0.7
1035.56,0.16,1.01
58.41,0.14,1.21
183.37,0.2,1.04
1040.26,0.21,0.86
1411.54,0.23,0.76
1332.48,0.22,0.86
144.07,0.18,0.98
134.06,0.16,1.18
160.89,0.19,1.12
694.23,0.22,0.86
2635.95,0.25,0.73
116.36,0.18,1.14
168.63,0.19,1.02
1140.74,0.19,0.9
660.19,0.16,1.01
1904.2,0.26,0.84
2780.31,0.25,0.71
64.93,0.16,1.29
4508.18,0.22,0.78
1293.37,0.25,0.79
3725.95,0.23,0.67
2740.69,0.22,0.73
3095.09,0.25,0.67
3622.29,0.22,0.76
267.14,0.17,1.13
224.63,0.14,1.19
1488.77,0.19,0.9
3348.25,0.21,0.79
4814.97,0.27,0.62
808.06,0.2,0.99
569.49,0.2,0.9
110.71,0.17,1.17
1199.62,0.18,0.98
51.19,0.17,1.22
1665.8,0.27,0.8
1403.7,0.18,0.95
3895.56,0.21,0.73
2578.46,0.25,0.71
186.34,0.16,1.12
859.94,0.21,1.01
240.61,0.19,0.9
1300.91,0.19,0.95
1419.79,0.16,0.95
2450.08,0.26,0.76
545.59,0.23,0.84
3675.71,0.27,0.62
108.31,0.13,1.35
346.69,0.19,1.02
568.66,0.23,1.08
1676.93,0.22,0.87
2206.57,0.27,0.77
1170.38,0.17,0.92
1130,0.24,0.87
752.45,0.18,1.04
580.5,0.21,0.94
1424.53,0.22,0.74
3083.84,0.21,0.82
744.5,0.19,1.05
2407.09,0.23,0.72
184.51,0.2,1.12
362.03,0.16,1.13
1559.94,0.19,0.83
370.36,0.15,1.14
2727.35,0.25,0.74
144.64,0.17,1.08
1020.32,0.21,0.87
1405.09,0.21,0.81
1856.54,0.22,0.87
644.22,0.23,0.85
90.64,0.19,1.17
2329.29,0.23,0.78
194.24,0.19,1.01
1324.88,0.2,0.82
1660.66,0.24,0.79
906.86,0.17,0.95
3631.48,0.25,0.72
42.03,0.16,1.26
275.93,0.14,1.17
792.81,0.2,0.93
292.32,0.18,1.14
2717.3,0.27,0.64
3396.96,0.2,0.88
649.9,0.19,0.92
1198.87,0.26,0.75
2884.46,0.23,0.75
3106.02,0.2,0.82
344.1,0.22,1.02
2031.13,0.2,0.81
1020.63,0.23,0.75
170.48,0.2,1.02
953.85,0.21,0.93
1392.35,0.23,0.81
257.94,0.17,1.09
979.37,0.19,0.96
1253.3,0.23,0.77
256.2,0.18,1.01
219.66,0.19,1.07
2595.19,0.26,0.81
2020.7,0.22,0.81
99.71,0.18,1.11
494.3,0.2,1
4609.95,0.28,0.63
1782.12,0.25,0.69
120.23,0.18,1.1
94.14,0.13,1.35
3025.39,0.27,0.63
869.73,0.23,0.85
950.98,0.2,0.93
2922.3,0.23,0.76
4038.51,0.26,0.66
335.4,0.21,1
115.31,0.15,1.26
362.61,0.22,0.93
1140.1,0.2,0.87
4743.75,0.26,0.64
364.87,0.2,1.05
1158.35,0.22,0.99
1842.7,0.26,0.75
753.74,0.17,0.98
1798.62,0.26,0.78
962.48,0.25,0.8
342.06,0.16,1.08
1191.64,0.19,0.89
1139.75,0.17,1.01
338.61,0.16,1.14
2262.8,0.23,0.78
1794.46,0.2,0.86
195.96,0.16,1.11
265.37,0.2,0.95
3754.62,0.26,0.66
3470.61,0.21,0.82
121.2,0.13,1.14
2458.71,0.21,0.73
4094.75,0.24,0.7
51,0.14,1.29
1475.39,0.18,0.93
2140.42,0.27,0.87
600.96,0.24,0.86
1356.64,0.2,0.9
527.5,0.24,0.88
119.34,0.13,1.25
2389.65,0.26,0.8
3648.05,0.23,0.72
1981.41,0.26,0.71
1411.11,0.17,0.96
2185.14,0.26,0.63
271.09,0.14,1.12
883.3,0.25,0.78
182.2,0.15,1.25
240.34,0.2,1.05
125.62,0.16,1.19
1049.79,0.18,0.9
793.91,0.17,0.97
389.74,0.16,0.96
925.54,0.22,1.07
107.8,0.14,1.25
1261.22,0.17,1
2840.72,0.24,0.71
1090.27,0.24,0.83
1120.24,0.2,0.88
4798.58,0.23,0.71
4321.17,0.28,0.62
2302.33,0.25,0.79
348.76,0.23,0.97
2696.53,0.22,0.79
4282.89,0.21,0.73
3273.9,0.25,0.64
4040.51,0.24,0.8
477.73,0.21,0.94
4888.9,0.26,0.64
562.02,0.23,0.95
188.36,0.16,1.05
4924.7,0.26,0.55
85.3,0.15,1.22
1115.48,0.26,0.76
2323.71,0.21,0.89
136.25,0.15,1.28
2034.27,0.21,0.97
1528.54,0.27,0.75
946.77,0.17,0.98
63.7,0.13,1.33
2582.73,0.27,0.64
3763.86,0.23,0.77
1326.7,0.23,0.86
3341.96,0.24,0.78
270.47,0.19,1.1
146.4,0.18,1.12
224.19,0.24,0.94
102.45,0.16,1.22
2515.94,0.24,0.73
2325.9,0.23,0.94
397.17,0.24,0.96
3398.25,0.26,0.71
247.27,0.16,1.14
3267.74,0.23,0.83
334.31,0.16,1.17
1616.02,0.2,0.91
4640.26,0.27,0.57
304.79,0.16,1.03
110.42,0.16,1.13
1056.34,0.2,0.86
2334.95,0.25,0.75
98.64,0.16,1.17
3442.82,0.23,0.67
287.42,0.18,1.03
1601.31,0.21,0.8
154.85,0.18,1.09
77.87,0.16,1.22
384.62,0.23,0.87
40.5,0.13,1.32
281.45,0.17,1.11
1489.34,0.19,0.81
240.9,0.19,1.12
1278.94,0.21,0.86
399.7,0.15,1.16
248.05,0.18,1.19
562.56,0.18,0.91
825.18,0.26,0.81
2335.13,0.23,0.83
231.19,0.19,1.04
2776.74,0.21,0.83
594.82,0.21,0.93
409.49,0.22,1.01
3647.28,0.25,0.68
2255.08,0.24,0.66
1178.85,0.18,0.93
3167.47,0.24,0.7
3437.35,0.23,0.82
333.29,0.15,1.23
1425.41,0.2,0.82
721.36,0.21,0.95
366.15,0.18,1.01
2462.15,0.27,0.64
139.94,0.17,1.11
1074.09,0.17,0.96
1832.26,0.2,0.86
3900.41,0.25,0.63
198.14,0.15,1.12
2381.11,0.22,0.77
4262.67,0.27,0.63
914.98,0.22,0.9
106.19,0.14,1.17
1347.41,0.2,0.85
3172.19,0.25,0.68
4014.77,0.23,0.73
3338.43,0.2,0.81
1302.19,0.19,0.88
325.75,0.19,0.94
857.71,0.16,1.03
3063.58,0.25,0.66
1134.04,0.21,0.89
81.35,0.14,1.32
1173.32,0.23,0.9
4802.2,0.21,0.65
27.98,0.17,1.28
1137.41,0.19,0.94
2549.99,0.25,0.74
282.34,0.18,1.02
1047.25,0.23,0.93
1090.4,0.27,0.7
4949.62,0.23,0.78
102.28,0.19,1.13
295.69,0.15,1.15
2845.44,0.21,0.89
94.26,0.13,1.32
2914.98,0.28,0.63
3268.92,0.22,0.75
402.08,0.21,0.97
2593.64,0.21,0.73
232.85,0.19,1.1
3043.09,0.2,0.83
2350.05,0.24,0.68
795.5,0.23,0.98
201.37,0.16,1.13
349.91,0.18,1.14
2146.58,0.25,0.68
148.54,0.16,1.17
993.89,0.24,0.84
1361.57,0.2,0.86
3233.93,0.24,0.71
197.86,0.18,1.12
328.94,0.23,0.92
677.63,0.19,0.96
71.26,0.16,1.28
968.8,0.22,0.98
31.41,0.18,1.25
2349.89,0.24,0.72
319.4,0.19,0.95
3101.64,0.23,0.91
365.6,0.18,1.08
91.02,0.13,1.29
1178.28,0.2,0.92
85.96,0.14,1.27
388.21,0.2,1.03
4160.16,0.28,0.63
85.08,0.16,1.11
341.63,0.17,1.04
4840.03,0.23,0.74
1211.11,0.22,0.86
2884.17,0.2,0.82
667.09,0.18,1.01
191.47,0.2,1.03
2176.68,0.29,0.65
1035.54,0.2,0.93
1067.67,0.25,0.78
4915.22,0.27,0.63
538.67,0.2,0.92
225.61,0.21,1.05
225.35,0.15,1.17
84.07,0.17,1.21
790.54,0.19,0.88
1849,0.24,1.05
1087.96,0.17,0.97
2834.02,0.24,0.75
2237.27,0.25,0.77
3483.79,0.26,0.66
758.67,0.24,0.83
1356.67,0.24,0.78
149.95,0.2,1.08
4902.04,0.25,0.68
3441.05,0.22,0.79
4551.43,0.28,0.62
2374.2,0.2,0.82
245.41,0.16,1.15
890.41,0.24,1.01
2393.75,0.27,0.65
1930.71,0.22,0.79
878.76,0.21,0.74
1407.55,0.22,0.79
449.1,0.17,1.02
3051.35,0.24,0.7
4644.82,0.28,0.56
118.47,0.18,1.18
699.88,0.16,1.23
1303.06,0.26,0.71
2045.09,0.29,0.59
2339.77,0.25,0.74
684.21,0.21,0.89
3666.56,0.24,0.69
154.85,0.19,0.92
130,0.17,1.07
977.6,0.22,0.97
285.39,0.17,1.08
684.71,0.19,1.04
915.45,0.18,0.92
281.04,0.18,1.02
375.23,0.19,0.99
845.23,0.19,0.91
986.83,0.19,1
558.52,0.19,0.96
4911.24,0.28,0.61
1143.9,0.2,0.94
2403.31,0.24,0.95
986.97,0.27,0.8
3468.72,0.23,0.72
78.43,0.16,1.22
3184.58,0.27,0.71
1971.67,0.22,0.79
461.16,0.17,1.06
1129.16,0.16,0.98
126.23,0.16,1.15
3667.2,0.21,0.76
58.69,0.18,1.17
1434.45,0.22,0.96
359.33,0.17,1.12
59.47,0.15,1.19
3435.84,0.22,0.69
83.51,0.2,1.14
393.41,0.2,0.94
3634.21,0.27,0.67
3242.91,0.25,0.69
1081.69,0.23,0.78
4074.41,0.26,0.63
255.6,0.15,1.14
511.98,0.21,0.84
1108.38,0.22,0.86
1588.01,0.2,0.83
2479.28,0.23,0.8
141.96,0.13,1.19
344.73,0.18,1.06
2116.94,0.2,0.97
434.96,0.22,0.87
841.21,0.21,0.9
4287.29,0.23,0.68
24.54,0.17,1.3
1204.99,0.23,0.94
3908.83,0.25,0.69
278.65,0.19,1.04
734.16,0.24,0.82
3112.83,0.25,0.93
1250.67,0.25,0.77
925.52,0.24,0.79
838.43,0.17,1
133.41,0.15,1.28
4697.53,0.28,0.66
579.37,0.21,0.82
3414.3,0.25,0.76
2459.1,0.21,0.89
1391.8,0.24,0.78
1764.62,0.25,0.77
1001.9,0.25,0.74
2967.57,0.27,0.75
552.79,0.23,0.79
1130.53,0.23,0.83
395.4,0.18,1.04
1535.22,0.25,0.8
1071.69,0.17,1
66.44,0.15,1.29
1012.04,0.18,0.86
226.69,0.2,1
4001.79,0.28,0.67
1889.68,0.26,0.72
3294.45,0.29,0.64
2243.78,0.21,0.76
2164.58,0.25,0.73
2212.84,0.27,0.69
79.97,0.13,1.27
387.83,0.17,1.07
4994.18,0.23,0.73
4535.75,0.22,0.71
3413.19,0.27,0.58
326.68,0.16,1.1
1084.27,0.18,0.99
795.73,0.24,0.87
2060.52,0.27,0.73
2087.62,0.23,0.76
229.88,0.24,0.98
1132.78,0.24,0.77
23.46,0.18,1.21
236.84,0.16,1.15
2950.21,0.26,0.75
942.11,0.21,0.92
131.06,0.16,1.11
254.31,0.16,1.15
287.42,0.14,1.05
847.84,0.19,0.97
441.05,0.22,0.91
249.61,0.16,0.98
1304,0.21,0.98
3347.98,0.22,0.74
313.74,0.17,1.08
1028.61,0.17,0.98
267.86,0.14,1.17
1025.44,0.23,0.84
285.17,0.18,1.08
276.77,0.17,1
3463.24,0.28,0.63
4458.33,0.25,0.5
757.9,0.22,0.93
2760.8,0.19,0.85
2234.38,0.24,0.77
106.78,0.17,1.2
962.97,0.23,0.61
1260.87,0.22,0.86
247.47,0.2,1.01
1207.59,0.22,0.76
174.86,0.15,1.13
1228.38,0.17,1.08
895.72,0.21,0.92
69.77,0.13,1.25
560.63,0.18,0.99
1127.83,0.21,0.89
3075,0.21,0.79
89.97,0.15,1.2
3191.74,0.29,0.47
1157.81,0.22,0.86
169.17,0.19,1.09
1888.72,0.19,0.77
2396.73,0.23,0.74
604.65,0.22,1.12
2677.64,0.27,0.63
779.49,0.17,1.06
370.1,0.18,0.89
273.56,0.18,1.08
258.99,0.16,1.2
402.06,0.2,1.02
358.35,0.18,1.08
369.82,0.23,0.87
211.7,0.18,1.09
2847.29,0.23,0.77
894.34,0.2,0.88
394.25,0.19,0.98
259.51,0.24,1.04
3046.74,0.23,0.64
684.52,0.17,1.08
723.57,0.19,1.02
1757.12,0.27,0.74
86.42,0.14,1.32
3417.21,0.23,0.75
115.12,0.15,1.17
117.94,0.13,1.28
200.05,0.16,1.07
4823.8,0.22,0.76
111.95,0.15,1.25
2709.6,0.27,0.73
294.07,0.24,0.89
220.83,0.16,1.14
109.02,0.15,1.21
3618.71,0.24,0.7
3929.38,0.27,0.59
3313.59,0.27,0.75
2990.4,0.26,0.75
277.48,0.19,1.19
275.18,0.14,1.18
118.41,0.17,1.14
3131.45,0.2,0.81
3214.01,0.26,0.62
156.63,0.2,1.02
4094.7,0.26,0.56
236.39,0.15,1.21
193.59,0.19,1.09
3309.59,0.25,0.91
984.57,0.24,0.76
4743.91,0.22,0.71
780.19,0.23,0.86
1360.33,0.18,0.95
2927.27,0.2,0.88
216.87,0.16,1.09
102.31,0.16,1.21
929.65,0.2,0.98
297.47,0.2,1.03
68.21,0.16,1.23
4179.24,0.24,0.88
1452.36,0.2,0.78
1143.22,0.22,0.85
3825.57,0.24,0.71
357.4,0.15,1.1
3029.99,0.26,0.7
593.58,0.18,1.03
2251.18,0.25,0.86
4927.3,0.26,0.56
1106,0.21,0.9
1405.54,0.23,0.87
799.64,0.18,0.9
2914.32,0.28,0.84
2240.09,0.22,0.75
291.23,0.18,1.04
83.83,0.16,1.16
2262.48,0.25,0.74
2042.65,0.22,0.81
2478.67,0.27,0.55
1383.84,0.25,0.73
2340.34,0.23,0.8
2194.34,0.25,0.78
384.34,0.14,1.15
1138.81,0.18,0.96
345.26,0.17,1.03
328.99,0.15,1.15
353.05,0.23,0.81
305.67,0.16,0.92
85.94,0.17,1.21
1402.98,0.21,0.84
166.68,0.18,1.05
32.95,0.16,1.36
4942.34,0.24,0.68
3944.86,0.26,0.69
1379.71,0.17,0.99
721.08,0.19,0.83
249.14,0.16,1.05
231.35,0.16,1.15
183.12,0.16,1.08
3933.48,0.23,0.75
78.88,0.17,1.19
2677.14,0.24,0.62
148.75,0.2,1.1
3357.45,0.21,0.73
3305.1,0.22,0.68
419.75,0.16,1.03
2779.3,0.22,0.83
825.58,0.23,0.9
3324.66,0.23,0.8
3599.54,0.21,0.71
479.71,0.18,0.94
1403.33,0.19,0.92
227.38,0.21,1.05
839.09,0.2,0.91
965.59,0.19,0.9
146.19,0.16,1.19
2131.77,0.27,0.73
2768.23,0.26,0.67
90.9,0.17,1.16
2656.35,0.22,0.79
4615.06,0.25,0.69
641.13,0.23,0.97
375.08,0.16,1.09
942.59,0.22,1.02
2283.35,0.21,0.88
202.41,0.18,1.04
356.04,0.19,1.05
149.5,0.14,1.27
1012.28,0.16,1
3716.65,0.29,0.56
868.44,0.17,0.95
333.41,0.22,0.95
194.6,0.16,1.02
31.17,0.13,1.34
730.67,0.21,0.97
438.08,0.18,1
2285.86,0.23,0.69
1438.05,0.17,0.98
316.34,0.17,1.16
2247.38,0.24,0.81
4112.08,0.25,0.73
467.24,0.24,0.88
405.59,0.18,1.04
1413.32,0.17,1.02
2339.47,0.2,0.84
147.94,0.14,1.41
2911.91,0.27,0.69
1379.6,0.16,0.98
305.97,0.2,0.99
3183.69,0.21,0.85
180.95,0.19,1.06
287.43,0.17,1.05
3236.85,0.2,0.84
704.47,0.22,0.88
354.69,0.17,1.22
520.48,0.16,0.93
1211.38,0.22,0.82
3957.31,0.22,0.73
297.86,0.17,1.07
3194.5,0.28,0.62
753.3,0.18,0.95
339.88,0.16,1.1
1492.37,0.22,0.83
801.91,0.17,0.95
117.67,0.15,1.17
2855.2,0.22,0.65
3138.61,0.23,0.71
2902.08,0.19,0.8
982.56,0.24,0.85
89.09,0.14,1.29
39,0.16,1.23
2128.96,0.23,0.79
1322.16,0.22,0.95
506.33,0.18,0.98
2582.03,0.27,0.65
584.68,0.18,0.96
122.47,0.15,1.11
21.25,0.15,1.3
2000.42,0.25,0.75
604.33,0.19,0.97
3039.43,0.23,0.77
3232.08,0.25,0.74
2330.78,0.22,0.71
3800.88,0.21,0.72
201.58,0.17,1.04
379.69,0.17,1.09
762.94,0.21,0.87
3486.89,0.25,0.62
1309.75,0.19,0.9
2293.48,0.23,0.74
304.39,0.15,1.13
268.58,0.17,1.12
232.57,0.17,1.1
1200.93,0.2,0.87
3948.55,0.26,0.56
356.19,0.15,1.12
863.35,0.23,0.87
849.65,0.23,1.16
302.69,0.22,0.82
2000.26,0.24,0.78
3685.48,0.29,0.65
3681.36,0.28,0.56
2451.68,0.29,0.65
134.74,0.17,1.29
230.94,0.19,1.05
3524.97,0.23,0.78
2226.91,0.25,0.74
4411.72,0.26,0.55
4623.88,0.22,0.69
1018.35,0.19,0.91
3273.07,0.24,0.69
242.15,0.17,1.07
104.61,0.13,1.28
606.46,0.23,0.65
94.91,0.14,1.26
333.73,0.16,1.11
244.7,0.17,1.01
739.25,0.18,1
3103.6,0.27,0.6
2902.68,0.23,0.78
2629.64,0.27,0.71
2759.59,0.24,0.74
4168.61,0.28,0.7
55.03,0.15,1.18
2730.62,0.27,0.68
1178.73,0.17,0.98
2442.37,0.23,0.79
79.16,0.14,1.3
2294.55,0.25,0.77
3846.42,0.24,0.75
617.73,0.2,0.9
1162.97,0.19,0.93
1015.27,0.23,0.82
3558.92,0.23,0.69
214.98,0.23,0.93
334.07,0.17,1.06
27.21,0.18,1.21
3043.71,0.24,0.72
116.07,0.2,1.07
4972.36,0.24,0.7
3124.56,0.2,0.81
3760.94,0.2,0.83
4849.44,0.22,0.7
2301.14,0.25,0.73
3228.71,0.22,0.72
802.8,0.16,0.98
3207.94,0.26,0.78
943.37,0.22,0.89
657.58,0.23,0.99
243.53,0.18,1.08
99.8,0.16,1.21
251.09,0.18,1.07
